step,agnet1,agnet2,agnet3,agnet4
0,"[-1.1419676542282104, 3.655717134475708]","[-3.454312562942505, 1.4040991067886353]","[-3.411144495010376, -0.7948064208030701]","[2.0657246112823486, 2.632910966873169]"
1,"[-1.1206833124160767, 3.431281089782715]","[-3.443618059158325, 1.2333818674087524]","[-3.266573905944824, -0.7066922187805176]","[1.8226946592330933, 2.4874885082244873]"
2,"[-1.065270185470581, 3.2323102951049805]","[-3.429429531097412, 1.1032156944274902]","[-3.146209955215454, -0.6380470395088196]","[1.5847539901733398, 2.360109806060791]"
3,"[-0.985238790512085, 3.052353620529175]","[-3.4131596088409424, 1.0042113065719604]","[-3.0447285175323486, -0.5839776992797852]","[1.3541576862335205, 2.245619058609009]"
4,"[-0.8885326385498047, 2.8864333629608154]","[-3.3956687450408936, 0.9286907911300659]","[-2.957531690597534, -0.540324330329895]","[1.1334768533706665, 2.139266014099121]"
5,"[-0.8440358638763428, 2.7577946186065674]","[-3.3774914741516113, 0.8705565929412842]","[-2.8809032440185547, -0.503878653049469]","[0.9842280149459839, 2.024733066558838]"
6,"[-0.8431278467178345, 2.660327911376953]","[-3.358947992324829, 0.825106680393219]","[-2.811957597732544, -0.47231724858283997]","[0.8940249085426331, 1.904637098312378]"
7,"[-0.839442789554596, 2.5713343620300293]","[-3.340212106704712, 0.7888094782829285]","[-2.748506784439087, -0.4440297782421112]","[0.8154072165489197, 1.7885230779647827]"
8,"[-0.8336776494979858, 2.4884324073791504]","[-3.321355104446411, 0.7590695023536682]","[-2.688915491104126, -0.4179359972476959]","[0.7461180686950684, 1.6757937669754028]"
9,"[-0.826317310333252, 2.4097681045532227]","[-3.3023808002471924, 0.7340126633644104]","[-2.631971597671509, -0.3933316767215729]","[0.6844673156738281, 1.566218614578247]"
10,"[-0.8176941275596619, 2.333904504776001]","[-3.283255100250244, 0.712302565574646]","[-2.576780319213867, -0.36977043747901917]","[0.6292238235473633, 1.4598519802093506]"
11,"[-0.8080280423164368, 2.259727716445923]","[-3.2639193534851074, 0.6929967999458313]","[-2.5226869583129883, -0.3469795286655426]","[0.5795135498046875, 1.3569598197937012]"
12,"[-0.797456681728363, 2.1863789558410645]","[-3.2443060874938965, 0.6754347681999207]","[-2.469210386276245, -0.32480165362358093]","[0.5347216129302979, 1.2579500675201416]"
13,"[-0.7860568165779114, 2.113201141357422]","[-3.2243475914001465, 0.6591551899909973]","[-2.4160053730010986, -0.30315473675727844]","[0.4944080412387848, 1.1633038520812988]"
14,"[-0.7738603949546814, 2.0397026538848877]","[-3.2039802074432373, 0.6438369154930115]","[-2.3628311157226562, -0.28200915455818176]","[0.45823225378990173, 1.07351553440094]"
15,"[-0.760867714881897, 1.9655309915542603]","[-3.1831443309783936, 0.6292555928230286]","[-2.309523820877075, -0.2613677978515625]","[0.4258982539176941, 0.9890331625938416]"
16,"[-0.7470546364784241, 1.8904573917388916]","[-3.1617889404296875, 0.6152538061141968]","[-2.2559876441955566, -0.2412581443786621]","[0.39711061120033264, 0.910210371017456]"
17,"[-0.7323837280273438, 1.8143683671951294]","[-3.139869451522827, 0.6017196178436279]","[-2.202176570892334, -0.22172296047210693]","[0.3715561032295227, 0.8372678756713867]"
18,"[-0.716810941696167, 1.7372626066207886]","[-3.117349863052368, 0.5885724425315857]","[-2.1480844020843506, -0.20281271636486053]","[0.3488938808441162, 0.7702713012695312]"
19,"[-0.7002934217453003, 1.6592508554458618]","[-3.09419584274292, 0.5757532715797424]","[-2.093735933303833, -0.1845826655626297]","[0.32876458764076233, 0.7091284394264221]"
20,"[-0.68279629945755, 1.5805555582046509]","[-3.070380210876465, 0.5632179379463196]","[-2.039175033569336, -0.16708363592624664]","[0.3108047544956207, 0.6536029577255249]"
21,"[-0.6642990708351135, 1.501509428024292]","[-3.04587984085083, 0.5509307384490967]","[-1.9844551086425781, -0.15036049485206604]","[0.29466512799263, 0.6033457517623901]"
22,"[-0.6448030471801758, 1.4225457906723022]","[-3.020672082901001, 0.5388644933700562]","[-1.9296321868896484, -0.1344471275806427]","[0.28002822399139404, 0.5579321384429932]"
23,"[-0.6243351697921753, 1.3441834449768066]","[-2.994737148284912, 0.5269960165023804]","[-1.874759316444397, -0.11936521530151367]","[0.26661795377731323, 0.5168989300727844]"
24,"[-0.6029521226882935, 1.2670029401779175]","[-2.968057155609131, 0.5153051018714905]","[-1.8198835849761963, -0.10512329638004303]","[0.2542058229446411, 0.47977957129478455]"
25,"[-0.5807417035102844, 1.1916120052337646]","[-2.940612316131592, 0.5037744045257568]","[-1.765044093132019, -0.0917195975780487]","[0.2426101565361023, 0.4461279809474945]"
26,"[-0.5578226447105408, 1.118606686592102]","[-2.9123833179473877, 0.492388516664505]","[-1.7102755308151245, -0.07914161682128906]","[0.23169223964214325, 0.4155343770980835]"
27,"[-0.5343414545059204, 1.048530101776123]","[-2.8833506107330322, 0.48113277554512024]","[-1.655609130859375, -0.06737136095762253]","[0.22134912014007568, 0.3876335918903351]"
28,"[-0.5104677677154541, 0.9818344712257385]","[-2.853492021560669, 0.4699946343898773]","[-1.6010769605636597, -0.05638499557971954]","[0.21150583028793335, 0.3621065020561218]"
29,"[-0.486387699842453, 0.9188542366027832]","[-2.822784662246704, 0.45896103978157043]","[-1.5467133522033691, -0.04615531861782074]","[0.20210841298103333, 0.3386777341365814]"
30,"[-0.46229544281959534, 0.8597882986068726]","[-2.7912042140960693, 0.448019802570343]","[-1.492558479309082, -0.03665417432785034]","[0.1931186467409134, 0.3171115517616272]"
31,"[-0.438383549451828, 0.8047031164169312]","[-2.7587220668792725, 0.4371594488620758]","[-1.4386591911315918, -0.027852175757288933]","[0.18450921773910522, 0.2972066402435303]"
32,"[-0.41483327746391296, 0.7535459995269775]","[-2.7253105640411377, 0.42636772990226746]","[-1.3850699663162231, -0.019717751070857048]","[0.17625893652439117, 0.2787911295890808]"
33,"[-0.3918076753616333, 0.7061671018600464]","[-2.6909377574920654, 0.41563233733177185]","[-1.3318558931350708, -0.012220827862620354]","[0.16835178434848785, 0.2617167532444]"
