n_targets,n_agents,time,targets_per_agent
5,1,0.0026895999908447266,[5]
5,1,0.0022735595703125,[5]
5,1,0.0020020008087158203,[5]
5,1,0.0019669532775878906,[5]
5,1,0.0020742416381835938,[5]
10,1,0.004644632339477539,[10]
10,1,0.0035593509674072266,[10]
10,1,0.0032181739807128906,[10]
10,1,0.0031354427337646484,[10]
10,1,0.0038270950317382812,[10]
15,1,0.007283687591552734,[15]
15,1,0.009149789810180664,[15]
15,1,0.008046388626098633,[15]
15,1,0.007112264633178711,[15]
15,1,0.008198261260986328,[15]
20,1,0.0202181339263916,[20]
20,1,0.018266916275024414,[20]
20,1,0.014725446701049805,[20]
20,1,0.013796567916870117,[20]
20,1,0.0165865421295166,[20]
25,1,0.021888017654418945,[25]
25,1,0.05037117004394531,[25]
25,1,0.04678010940551758,[25]
25,1,0.02450275421142578,[25]
25,1,0.023854732513427734,[25]
30,1,0.04810690879821777,[30]
30,1,0.06313705444335938,[30]
30,1,0.043834686279296875,[30]
30,1,0.04513216018676758,[30]
30,1,0.038320302963256836,[30]
35,2,0.02375173568725586,"[14, 21]"
35,2,0.017619609832763672,"[19, 16]"
35,2,0.02446436882019043,"[21, 14]"
35,2,0.02560138702392578,"[15, 20]"
35,2,0.025668621063232422,"[16, 19]"
40,2,0.03782081604003906,"[22, 18]"
40,2,0.03510737419128418,"[17, 23]"
40,2,0.03581404685974121,"[24, 16]"
40,2,0.02852940559387207,"[17, 23]"
40,2,0.044379234313964844,"[18, 22]"
45,2,0.05493903160095215,"[17, 28]"
45,2,0.09979438781738281,"[17, 28]"
45,2,0.03795814514160156,"[27, 18]"
45,2,0.07618045806884766,"[23, 22]"
45,2,0.056488990783691406,"[28, 17]"
50,2,0.059688568115234375,"[31, 19]"
50,2,0.07000017166137695,"[32, 18]"
50,2,0.07973098754882812,"[36, 14]"
50,2,0.05350065231323242,"[29, 21]"
50,2,0.050580739974975586,"[20, 30]"
55,2,0.07337188720703125,"[27, 28]"
55,2,0.08850741386413574,"[26, 29]"
55,2,0.06798863410949707,"[30, 25]"
55,2,0.06590867042541504,"[26, 29]"
