n_targets,n_agents,time,targets_per_agent,locations
50,2,0.0569415092468261,"[28, 22]","[(55, 53), (64, 84), (46, 42), (25, 59), (20, 23), (68, 25), (84, 3), (3, 72), (34, 60), (58, 79), (32, 0), (23, 45), (55, 90), (19, 12), (85, 4), (28, 87), (89, 22), (82, 33), (25, 92), (83, 45), (77, 56), (81, 70), (97, 31), (11, 28), (26, 27), (66, 95), (81, 64), (20, 27), (17, 48), (76, 26), (17, 5), (46, 64), (72, 24), (64, 86), (21, 67), (69, 86), (24, 23), (67, 12), (8, 13), (8, 21), (100, 55), (57, 98), (93, 71), (100, 10), (19, 42), (7, 66), (8, 94), (11, 84), (60, 26), (2, 97), (32, 20), (55, 92), (66, 11), (8, 7)]"
50,2,0.072547435760498,"[25, 25]","[(17, 57), (5, 4), (36, 86), (63, 17), (53, 36), (64, 7), (28, 88), (13, 32), (39, 65), (19, 40), (84, 27), (19, 44), (5, 90), (31, 100), (93, 6), (82, 92), (94, 15), (87, 17), (47, 28), (49, 49), (90, 98), (42, 29), (69, 56), (55, 35), (46, 85), (72, 96), (86, 95), (32, 14), (56, 39), (52, 12), (89, 56), (26, 9), (79, 77), (89, 88), (99, 0), (26, 41), (45, 94), (87, 23), (26, 56), (42, 55), (49, 58), (88, 9), (57, 77), (63, 59), (74, 68), (56, 1), (26, 52), (46, 18), (75, 20), (56, 4), (85, 70), (14, 71), (45, 25), (25, 78)]"
50,2,0.0923182964324951,"[30, 20]","[(85, 14), (41, 77), (95, 8), (82, 88), (31, 63), (35, 88), (73, 39), (5, 84), (17, 28), (94, 62), (52, 17), (17, 76), (29, 81), (55, 54), (71, 41), (65, 9), (55, 25), (24, 77), (70, 5), (83, 29), (17, 24), (44, 29), (46, 80), (75, 59), (64, 48), (65, 99), (54, 69), (33, 6), (12, 90), (3, 94), (74, 26), (53, 43), (93, 57), (60, 33), (75, 12), (36, 85), (73, 57), (59, 83), (10, 71), (43, 6), (46, 100), (72, 19), (89, 32), (44, 26), (94, 59), (43, 37), (47, 77), (93, 16), (58, 11), (41, 84), (99, 60), (34, 90), (6, 90), (39, 99)]"
50,2,0.1116881370544433,"[13, 37]","[(56, 69), (34, 33), (72, 88), (60, 85), (24, 55), (34, 33), (7, 95), (68, 33), (67, 96), (62, 70), (0, 20), (16, 90), (21, 63), (99, 66), (58, 43), (23, 35), (87, 29), (94, 78), (5, 17), (0, 40), (64, 9), (48, 98), (67, 50), (5, 2), (35, 40), (72, 40), (42, 36), (68, 3), (83, 14), (86, 51), (71, 45), (42, 28), (6, 96), (38, 35), (97, 97), (79, 32), (26, 37), (6, 29), (97, 16), (0, 70), (2, 20), (49, 3), (50, 25), (12, 35), (12, 20), (71, 45), (66, 4), (77, 50), (46, 50), (15, 14), (53, 3), (11, 86), (31, 6), (4, 0)]"
50,2,0.0706546306610107,"[22, 28]","[(54, 37), (48, 46), (43, 21), (3, 60), (56, 39), (42, 59), (46, 19), (66, 61), (69, 38), (54, 71), (71, 65), (49, 31), (11, 99), (16, 65), (89, 52), (95, 14), (91, 6), (5, 38), (53, 36), (84, 27), (50, 32), (47, 68), (62, 62), (99, 28), (28, 22), (80, 92), (61, 54), (42, 66), (84, 51), (78, 0), (12, 4), (18, 78), (22, 90), (78, 21), (85, 44), (14, 80), (74, 86), (21, 46), (52, 68), (78, 9), (2, 74), (22, 28), (16, 38), (72, 64), (32, 85), (85, 87), (26, 13), (85, 78), (41, 33), (56, 60), (65, 82), (13, 88), (79, 32), (19, 48)]"
100,4,0.1522321701049804,"[23, 27, 27, 23]","[(83, 116), (197, 148), (96, 153), (68, 161), (146, 17), (142, 5), (175, 31), (99, 6), (3, 83), (141, 36), (105, 161), (68, 178), (64, 11), (1, 121), (143, 31), (97, 17), (193, 197), (187, 43), (56, 28), (97, 19), (121, 143), (122, 9), (77, 162), (73, 109), (155, 2), (145, 142), (168, 179), (52, 118), (127, 41), (106, 181), (64, 86), (30, 53), (167, 134), (184, 75), (104, 75), (184, 181), (196, 34), (161, 121), (94, 166), (17, 121), (134, 5), (43, 36), (125, 43), (122, 139), (187, 35), (74, 149), (184, 37), (170, 136), (43, 82), (120, 18), (72, 70), (123, 124), (126, 72), (165, 171), (67, 83), (52, 133), (50, 126), (91, 149), (138, 3), (87, 171), (132, 132), (70, 67), (177, 89), (159, 198), (18, 160), (72, 130), (6, 78), (176, 159), (14, 165), (91, 104), (94, 55), (138, 131), (138, 147), (177, 192), (40, 95), (150, 133), (148, 75), (189, 2), (181, 105), (110, 47), (85, 174), (176, 0), (27, 38), (51, 31), (144, 181), (111, 149), (148, 168), (97, 188), (8, 41), (199, 90), (43, 195), (71, 67), (61, 117), (54, 122), (15, 180), (115, 2), (188, 27), (108, 188), (33, 195), (6, 122), (16, 10), (126, 25), (132, 61), (126, 89), (175, 175), (147, 4), (86, 35), (45, 70)]"
100,4,0.1835114955902099,"[29, 21, 19, 31]","[(99, 25), (83, 165), (89, 26), (131, 193), (60, 182), (98, 199), (156, 54), (109, 41), (123, 42), (144, 27), (108, 53), (1, 94), (116, 134), (130, 136), (184, 166), (13, 12), (114, 75), (4, 191), (61, 21), (195, 119), (107, 32), (5, 31), (112, 72), (115, 152), (176, 9), (12, 1), (26, 142), (94, 146), (44, 88), (169, 173), (12, 175), (97, 59), (121, 171), (79, 194), (163, 187), (148, 113), (12, 95), (110, 136), (189, 77), (29, 45), (161, 105), (148, 182), (48, 74), (146, 177), (156, 194), (38, 57), (179, 100), (125, 79), (85, 190), (135, 64), (42, 111), (121, 32), (170, 136), (0, 139), (11, 148), (131, 117), (83, 183), (21, 98), (117, 86), (155, 176), (141, 26), (5, 76), (200, 160), (194, 192), (79, 20), (185, 127), (8, 176), (179, 191), (167, 174), (167, 119), (159, 73), (0, 133), (125, 21), (112, 73), (168, 95), (90, 149), (37, 82), (124, 154), (63, 52), (78, 113), (164, 26), (194, 189), (64, 127), (71, 43), (155, 199), (147, 94), (108, 62), (11, 155), (188, 144), (52, 118), (17, 110), (101, 139), (151, 157), (170, 125), (180, 10), (21, 191), (75, 172), (198, 48), (99, 181), (109, 86), (198, 126), (128, 38), (190, 66), (199, 162), (152, 104), (166, 188), (60, 31), (15, 78)]"
100,4,0.1386950016021728,"[31, 32, 21, 16]","[(174, 121), (42, 22), (97, 69), (109, 166), (110, 138), (78, 190), (141, 116), (6, 1), (183, 127), (187, 44), (162, 87), (19, 77), (81, 25), (47, 61), (38, 160), (143, 117), (198, 116), (94, 151), (64, 180), (125, 190), (200, 108), (162, 174), (1, 67), (55, 13), (160, 86), (176, 130), (41, 174), (82, 34), (133, 37), (141, 140), (166, 163), (168, 169), (198, 41), (180, 168), (190, 8), (63, 128), (90, 28), (196, 0), (99, 77), (35, 142), (163, 136), (36, 169), (118, 159), (74, 0), (136, 151), (165, 86), (130, 45), (18, 167), (3, 8), (178, 174), (114, 48), (1, 93), (199, 136), (188, 117), (11, 71), (16, 166), (23, 69), (123, 50), (108, 89), (175, 160), (114, 148), (0, 11), (151, 96), (168, 120), (190, 64), (29, 182), (59, 103), (196, 113), (125, 122), (72, 98), (45, 41), (92, 80), (68, 24), (117, 167), (16, 92), (72, 73), (104, 69), (51, 191), (177, 47), (8, 13), (198, 24), (95, 90), (31, 199), (61, 56), (166, 198), (69, 24), (161, 103), (120, 74), (36, 174), (56, 27), (15, 33), (111, 176), (42, 110), (125, 126), (159, 165), (161, 196), (125, 123), (146, 60), (182, 30), (190, 126), (110, 99), (92, 63), (46, 20), (47, 157), (45, 171), (89, 42), (21, 100), (87, 47)]"
100,4,0.1208901405334472,"[20, 24, 35, 21]","[(32, 159), (32, 115), (142, 37), (140, 166), (139, 45), (104, 47), (148, 170), (13, 37), (79, 111), (94, 59), (97, 7), (16, 123), (83, 186), (78, 198), (66, 166), (103, 94), (122, 16), (127, 170), (176, 189), (154, 117), (111, 85), (79, 7), (173, 23), (175, 126), (99, 41), (38, 36), (65, 106), (171, 77), (100, 89), (6, 196), (133, 178), (14, 80), (81, 61), (185, 123), (56, 89), (29, 157), (153, 63), (131, 139), (42, 87), (65, 33), (197, 130), (95, 91), (198, 73), (190, 187), (55, 73), (93, 46), (37, 10), (117, 186), (114, 72), (72, 136), (47, 96), (139, 101), (6, 102), (85, 46), (171, 77), (84, 11), (92, 157), (150, 49), (36, 197), (88, 85), (69, 131), (156, 155), (131, 28), (81, 195), (119, 92), (8, 79), (10, 123), (120, 154), (90, 20), (194, 34), (160, 92), (180, 84), (55, 8), (81, 8), (192, 101), (88, 21), (29, 124), (13, 134), (64, 186), (12, 124), (9, 64), (147, 12), (7, 187), (135, 74), (123, 10), (109, 97), (187, 138), (25, 30), (186, 50), (98, 161), (107, 37), (31, 22), (119, 70), (25, 59), (64, 154), (0, 179), (36, 187), (134, 65), (37, 125), (67, 197), (29, 157), (25, 117), (36, 174), (148, 64), (163, 107), (15, 76), (26, 50), (151, 126)]"
100,4,0.1349596977233886,"[23, 26, 22, 29]","[(133, 81), (153, 136), (67, 19), (176, 114), (174, 5), (88, 80), (182, 43), (72, 78), (55, 98), (152, 110), (103, 115), (143, 12), (34, 28), (41, 112), (32, 128), (67, 127), (43, 71), (114, 61), (182, 43), (69, 45), (161, 175), (121, 45), (177, 27), (42, 82), (157, 157), (129, 108), (16, 107), (84, 92), (141, 183), (17, 184), (144, 167), (31, 132), (68, 130), (156, 9), (21, 142), (94, 34), (139, 180), (8, 15), (116, 200), (25, 62), (36, 65), (102, 174), (158, 83), (40, 176), (55, 101), (52, 51), (24, 68), (90, 131), (134, 175), (174, 3), (148, 156), (33, 41), (124, 166), (115, 170), (55, 138), (5, 188), (184, 80), (112, 174), (186, 151), (7, 83), (16, 180), (129, 7), (190, 68), (87, 103), (76, 155), (194, 159), (17, 97), (78, 142), (106, 16), (77, 124), (48, 50), (116, 175), (101, 44), (73, 147), (150, 61), (0, 84), (199, 65), (123, 12), (50, 179), (14, 140), (127, 91), (1, 183), (113, 158), (156, 159), (97, 172), (120, 29), (171, 112), (166, 143), (33, 99), (62, 198), (82, 53), (136, 87), (75, 102), (109, 31), (106, 90), (80, 123), (81, 104), (109, 193), (19, 105), (46, 119), (183, 169), (27, 141), (65, 174), (89, 52), (19, 40), (109, 151), (163, 150), (86, 121)]"
