n_targets,n_agents,time,targets_per_agent,locations
50,2,0.3539156913757324,"[24, 26]","[(55, 53), (64, 84), (46, 42), (25, 59), (20, 23), (68, 25), (84, 3), (3, 72), (34, 60), (58, 79), (32, 0), (23, 45), (55, 90), (19, 12), (85, 4), (28, 87), (89, 22), (82, 33), (25, 92), (83, 45), (77, 56), (81, 70), (97, 31), (11, 28), (26, 27), (66, 95), (81, 64), (20, 27), (17, 48), (76, 26), (17, 5), (46, 64), (72, 24), (64, 86), (21, 67), (69, 86), (24, 23), (67, 12), (8, 13), (8, 21), (100, 55), (57, 98), (93, 71), (100, 10), (19, 42), (7, 66), (8, 94), (11, 84), (60, 26), (2, 97), (32, 20), (55, 92), (66, 11), (8, 7)]"
50,2,0.6872265338897705,"[28, 22]","[(17, 57), (5, 4), (36, 86), (63, 17), (53, 36), (64, 7), (28, 88), (13, 32), (39, 65), (19, 40), (84, 27), (19, 44), (5, 90), (31, 100), (93, 6), (82, 92), (94, 15), (87, 17), (47, 28), (49, 49), (90, 98), (42, 29), (69, 56), (55, 35), (46, 85), (72, 96), (86, 95), (32, 14), (56, 39), (52, 12), (89, 56), (26, 9), (79, 77), (89, 88), (99, 0), (26, 41), (45, 94), (87, 23), (26, 56), (42, 55), (49, 58), (88, 9), (57, 77), (63, 59), (74, 68), (56, 1), (26, 52), (46, 18), (75, 20), (56, 4), (85, 70), (14, 71), (45, 25), (25, 78)]"
50,2,0.3818471431732178,"[21, 29]","[(85, 14), (41, 77), (95, 8), (82, 88), (31, 63), (35, 88), (73, 39), (5, 84), (17, 28), (94, 62), (52, 17), (17, 76), (29, 81), (55, 54), (71, 41), (65, 9), (55, 25), (24, 77), (70, 5), (83, 29), (17, 24), (44, 29), (46, 80), (75, 59), (64, 48), (65, 99), (54, 69), (33, 6), (12, 90), (3, 94), (74, 26), (53, 43), (93, 57), (60, 33), (75, 12), (36, 85), (73, 57), (59, 83), (10, 71), (43, 6), (46, 100), (72, 19), (89, 32), (44, 26), (94, 59), (43, 37), (47, 77), (93, 16), (58, 11), (41, 84), (99, 60), (34, 90), (6, 90), (39, 99)]"
50,2,0.4780471324920654,"[24, 26]","[(56, 69), (34, 33), (72, 88), (60, 85), (24, 55), (34, 33), (7, 95), (68, 33), (67, 96), (62, 70), (0, 20), (16, 90), (21, 63), (99, 66), (58, 43), (23, 35), (87, 29), (94, 78), (5, 17), (0, 40), (64, 9), (48, 98), (67, 50), (5, 2), (35, 40), (72, 40), (42, 36), (68, 3), (83, 14), (86, 51), (71, 45), (42, 28), (6, 96), (38, 35), (97, 97), (79, 32), (26, 37), (6, 29), (97, 16), (0, 70), (2, 20), (49, 3), (50, 25), (12, 35), (12, 20), (71, 45), (66, 4), (77, 50), (46, 50), (15, 14), (53, 3), (11, 86), (31, 6), (4, 0)]"
50,2,0.3646490573883056,"[25, 25]","[(54, 37), (48, 46), (43, 21), (3, 60), (56, 39), (42, 59), (46, 19), (66, 61), (69, 38), (54, 71), (71, 65), (49, 31), (11, 99), (16, 65), (89, 52), (95, 14), (91, 6), (5, 38), (53, 36), (84, 27), (50, 32), (47, 68), (62, 62), (99, 28), (28, 22), (80, 92), (61, 54), (42, 66), (84, 51), (78, 0), (12, 4), (18, 78), (22, 90), (78, 21), (85, 44), (14, 80), (74, 86), (21, 46), (52, 68), (78, 9), (2, 74), (22, 28), (16, 38), (72, 64), (32, 85), (85, 87), (26, 13), (85, 78), (41, 33), (56, 60), (65, 82), (13, 88), (79, 32), (19, 48)]"
50,2,0.3341908454895019,"[25, 25]","[(49, 35), (10, 21), (24, 64), (85, 83), (26, 13), (36, 44), (12, 39), (78, 19), (4, 91), (79, 18), (87, 9), (51, 53), (84, 6), (5, 50), (25, 94), (81, 65), (23, 19), (83, 82), (23, 88), (14, 44), (0, 10), (86, 92), (48, 49), (57, 44), (56, 67), (93, 94), (17, 39), (48, 78), (99, 82), (26, 77), (37, 68), (23, 60), (58, 68), (69, 96), (87, 32), (50, 68), (38, 53), (13, 90), (70, 36), (22, 1), (53, 4), (9, 53), (73, 47), (78, 84), (38, 41), (94, 60), (94, 19), (82, 64), (86, 23), (32, 82), (60, 26), (3, 82), (81, 29), (8, 95)]"
50,2,0.6179487705230713,"[24, 26]","[(94, 92), (50, 39), (81, 69), (12, 75), (80, 78), (0, 89), (22, 88), (45, 60), (16, 18), (15, 8), (67, 45), (74, 3), (21, 30), (46, 92), (99, 63), (44, 24), (16, 22), (19, 75), (50, 28), (27, 53), (67, 99), (57, 28), (68, 77), (99, 2), (88, 47), (29, 86), (68, 33), (86, 33), (53, 19), (69, 64), (38, 85), (55, 11), (52, 73), (100, 67), (55, 91), (32, 59), (58, 0), (94, 68), (95, 77), (90, 3), (56, 54), (28, 16), (17, 47), (29, 13), (23, 62), (4, 96), (95, 12), (42, 49), (74, 9), (10, 100), (18, 84), (70, 83), (35, 6), (70, 38)]"
50,2,0.5723741054534912,"[29, 21]","[(83, 17), (56, 66), (29, 22), (35, 98), (24, 90), (48, 99), (77, 3), (41, 21), (27, 37), (58, 23), (64, 31), (82, 48), (73, 4), (36, 72), (29, 33), (0, 8), (21, 66), (47, 67), (14, 3), (100, 100), (97, 61), (16, 94), (81, 6), (36, 16), (31, 32), (31, 23), (18, 74), (63, 8), (18, 24), (35, 26), (65, 20), (89, 57), (79, 54), (51, 63), (60, 12), (47, 43), (14, 97), (55, 22), (41, 56), (18, 53), (41, 29), (91, 0), (46, 39), (14, 31), (11, 16), (39, 17), (83, 57), (44, 38), (95, 90), (2, 39), (0, 84), (70, 68), (54, 6), (69, 58)]"
50,2,0.3413963317871094,"[28, 22]","[(29, 62), (28, 94), (80, 90), (57, 3), (6, 27), (85, 40), (6, 93), (15, 8), (74, 86), (30, 48), (34, 95), (66, 10), (28, 98), (75, 12), (68, 92), (74, 51), (68, 90), (29, 89), (94, 26), (85, 82), (93, 48), (8, 56), (1, 27), (48, 9), (23, 94), (65, 21), (81, 9), (88, 11), (26, 78), (53, 59), (81, 22), (64, 83), (42, 8), (20, 42), (94, 37), (86, 98), (57, 67), (46, 72), (23, 87), (60, 35), (74, 36), (42, 53), (98, 53), (97, 19), (66, 82), (39, 5), (50, 2), (38, 96), (64, 34), (45, 59), (82, 75), (14, 64), (84, 8), (59, 46)]"
50,2,0.4144287109375,"[20, 30]","[(45, 88), (96, 46), (82, 19), (93, 71), (85, 61), (8, 91), (9, 32), (43, 45), (7, 43), (58, 65), (15, 15), (93, 11), (73, 66), (26, 95), (43, 36), (0, 31), (7, 14), (56, 83), (34, 6), (38, 36), (10, 95), (40, 51), (21, 41), (61, 56), (19, 86), (97, 14), (28, 27), (3, 55), (11, 51), (96, 26), (26, 47), (84, 59), (46, 15), (4, 44), (66, 28), (90, 56), (100, 53), (61, 14), (7, 81), (52, 34), (68, 56), (14, 23), (55, 54), (77, 39), (80, 41), (70, 94), (29, 18), (2, 13), (85, 33), (61, 54), (7, 0), (44, 44), (23, 0), (79, 41)]"
