Agent 0 positions over time:
  Step 0: x=0.950, y=-0.406, g_x=-0.004, g_y=1.136
  Step 1: x=0.944, y=-0.398, g_x=-0.004, g_y=1.136
  Step 2: x=0.931, y=-0.383, g_x=-0.004, g_y=1.136
  Step 3: x=0.915, y=-0.363, g_x=-0.004, g_y=1.136
  Step 4: x=0.895, y=-0.338, g_x=-0.004, g_y=1.136
  Step 5: x=0.874, y=-0.310, g_x=-0.004, g_y=1.136
  Step 6: x=0.851, y=-0.280, g_x=-0.004, g_y=1.136
  Step 7: x=0.828, y=-0.248, g_x=-0.004, g_y=1.136
  Step 8: x=0.804, y=-0.215, g_x=-0.004, g_y=1.136
  Step 9: x=0.780, y=-0.181, g_x=-0.004, g_y=1.136
  Step 10: x=0.755, y=-0.146, g_x=-0.004, g_y=1.136
  Step 11: x=0.730, y=-0.110, g_x=-0.004, g_y=1.136
  Step 12: x=0.705, y=-0.075, g_x=-0.004, g_y=1.136
  Step 13: x=0.680, y=-0.039, g_x=-0.004, g_y=1.136
  Step 14: x=0.656, y=-0.003, g_x=-0.004, g_y=1.136
  Step 15: x=0.631, y=0.033, g_x=-0.004, g_y=1.136
  Step 16: x=0.606, y=0.070, g_x=-0.004, g_y=1.136
  Step 17: x=0.582, y=0.106, g_x=-0.004, g_y=1.136
  Step 18: x=0.558, y=0.141, g_x=-0.004, g_y=1.136
  Step 19: x=0.534, y=0.177, g_x=-0.004, g_y=1.136
  Step 20: x=0.510, y=0.213, g_x=-0.004, g_y=1.136
  Step 21: x=0.487, y=0.248, g_x=-0.004, g_y=1.136
  Step 22: x=0.464, y=0.283, g_x=-0.004, g_y=1.136
  Step 23: x=0.441, y=0.318, g_x=-0.004, g_y=1.136
  Step 24: x=0.419, y=0.352, g_x=-0.004, g_y=1.136
  Step 25: x=0.398, y=0.386, g_x=-0.004, g_y=1.136
  Step 26: x=0.376, y=0.419, g_x=-0.004, g_y=1.136
  Step 27: x=0.356, y=0.451, g_x=-0.004, g_y=1.136
  Step 28: x=0.336, y=0.483, g_x=-0.004, g_y=1.136
  Step 29: x=0.316, y=0.514, g_x=-0.004, g_y=1.136
  Step 30: x=0.297, y=0.544, g_x=-0.004, g_y=1.136
  Step 31: x=0.279, y=0.573, g_x=-0.004, g_y=1.136
  Step 32: x=0.261, y=0.601, g_x=-0.004, g_y=1.136
  Step 33: x=0.244, y=0.628, g_x=-0.004, g_y=1.136
  Step 34: x=0.228, y=0.654, g_x=-0.004, g_y=1.136
  Step 35: x=0.213, y=0.679, g_x=-0.004, g_y=1.136
  Step 36: x=0.198, y=0.703, g_x=-0.004, g_y=1.136
  Step 37: x=0.184, y=0.726, g_x=-0.004, g_y=1.136
  Step 38: x=0.170, y=0.748, g_x=-0.004, g_y=1.136
  Step 39: x=0.158, y=0.769, g_x=-0.004, g_y=1.136
  Step 40: x=0.146, y=0.789, g_x=-0.004, g_y=1.136
  Step 41: x=0.134, y=0.808, g_x=-0.004, g_y=1.136
  Step 42: x=0.123, y=0.827, g_x=-0.004, g_y=1.136
  Step 43: x=0.113, y=0.844, g_x=-0.004, g_y=1.136
  Step 44: x=0.104, y=0.860, g_x=-0.004, g_y=1.136
  Step 45: x=0.095, y=0.876, g_x=-0.004, g_y=1.136
  Step 46: x=0.086, y=0.891, g_x=-0.004, g_y=1.136
  Step 47: x=0.078, y=0.905, g_x=-0.004, g_y=1.136
  Step 48: x=0.071, y=0.918, g_x=-0.004, g_y=1.136
  Step 49: x=0.064, y=0.931, g_x=-0.004, g_y=1.136
  Step 50: x=0.057, y=0.943, g_x=-0.004, g_y=1.136
  Step 51: x=0.051, y=0.955, g_x=-0.004, g_y=1.136
  Step 52: x=0.046, y=0.966, g_x=-0.004, g_y=1.136
  Step 53: x=0.040, y=0.976, g_x=-0.004, g_y=1.136
  Step 54: x=0.035, y=0.986, g_x=-0.004, g_y=1.136
  Step 55: x=0.031, y=0.995, g_x=-0.004, g_y=1.136
  Step 56: x=0.026, y=1.004, g_x=-0.004, g_y=1.136
  Step 57: x=0.022, y=1.012, g_x=-0.004, g_y=1.136
  Step 58: x=0.018, y=1.020, g_x=-0.004, g_y=1.136
  Step 59: x=0.015, y=1.028, g_x=-0.004, g_y=1.136
  Step 60: x=0.012, y=1.035, g_x=-0.004, g_y=1.136
  Step 61: x=0.008, y=1.042, g_x=-0.004, g_y=1.136
  Step 62: x=0.006, y=1.048, g_x=-0.004, g_y=1.136
